utility_family,beta1,beta2,ideal_gap,classical_bias,quantum_bias,epsilon_threshold
asymmetric_half,0.135,0.0675,0.053595531569583854,0.53375,0.6409410631391677,0.16724012441046132
symmetric,0.14,0.14,0.05805843601498728,0.5,0.6161168720299746,0.18846565854850572
asymmetric_half,0.14,0.07,0.05187570319810131,0.5349999999999999,0.6387514063962025,0.16242845864177724
symmetric,0.145,0.145,0.056604386791839656,0.5,0.6132087735836793,0.1846170153797232
asymmetric_half,0.145,0.0725,0.05016780222868844,0.53625,0.6365856044573769,0.1576152582697854
symmetric,0.15,0.15,0.055163890393342574,0.5,0.6103277807866851,0.18076807948095952
asymmetric_half,0.15,0.075,0.048472199482535894,0.5375000000000001,0.6344443989650719,0.15280204084583437
symmetric,0.155,0.155,0.05373713964545068,0.5,0.6074742792909014,0.1769198844375025
asymmetric_half,0.155,0.0775,0.04678928503668922,0.5387500000000001,0.6323285700733785,0.14799041906728827
symmetric,0.16,0.16,0.05232432915661944,0.5,0.6046486583132389,0.17307349793047178
asymmetric_half,0.16,0.08,0.04511946958581403,0.54,0.6302389391716281,0.1431821069168403
symmetric,0.165,0.165,0.0509256552705335,0.5,0.601851310541067,0.1692300220290327
asymmetric_half,0.165,0.0825,0.04346318592219389,0.54125,0.6281763718443878,0.13837892627060033
symmetric,0.17,0.17,0.04954131601500322,0.5,0.5990826320300064,0.1653905934382749
asymmetric_half,0.17,0.085,0.0418208905460582,0.5425,0.6261417810921164,0.1335828140173435
symmetric,0.175,0.175,0.048171511046914084,0.5,0.5963430220938282,0.16155638369936298
asymmetric_half,0.175,0.0875,0.040193065419768415,0.54375,0.6241361308395368,0.12879582973574688
symmetric,0.18,0.18,0.0468164415931166,0.5,0.5936328831862332,0.1577285993384886
asymmetric_half,0.18,0.09,0.038580219881013234,0.5449999999999999,0.6221604397620264,0.12402016398140003
symmetric,0.185,0.185,0.04547631038714417,0.5,0.5909526207742883,0.15390848196107298
asymmetric_half,0.185,0.0925,0.036982892732012385,0.54625,0.6202157854640249,0.11925814724094153
symmetric,0.19,0.19,0.04415132160165447,0.5,0.588302643203309,0.15009730828762047
asymmetric_half,0.19,0.095,0.03540165452383204,0.5475,0.618303309047664,0.11451225961691536
symmetric,0.195,0.195,0.04284168077649053,0.5,0.5856833615529811,0.14629639012756912
asymmetric_half,0.195,0.0975,0.03383711005731349,0.5487500000000001,0.616424220114627,0.109785141313952
symmetric,0.2,0.2,0.04154759474226499,0.5,0.5830951894845301,0.1425070742874559
asymmetric_half,0.2,0.1,0.03228990112487151,0.55,0.6145798022497431,0.10507960400478655
symmetric,0.205,0.205,0.040269271539375984,0.5,0.580538543078752,0.13873074240968464
asymmetric_half,0.205,0.1025,0.030760709520555762,0.55125,0.6127714190411114,0.10039864316351854
symmetric,0.21,0.21,0.03900692033236852,0.5,0.578013840664737,0.13496881073819667
asymmetric_half,0.21,0.105,0.02925026034939593,0.5525,0.6110005206987918,0.09574545146358582
symmetric,0.215,0.215,0.037760751319564134,0.5,0.5755215026391282,0.13122272980733918
asymmetric_half,0.215,0.1075,0.027759325671207202,0.55375,0.6092686513424143,0.09112343334929329
symmetric,0.22,0.22,0.0365309756378881,0.5,0.5730619512757762,0.12749398405028012
asymmetric_half,0.22,0.11,0.0262887285188369,0.5549999999999999,0.6075774570376737,0.08653622090263569
symmetric,0.225,0.225,0.035317805262833124,0.5,0.5706356105256664,0.123784091323353
asymmetric_half,0.225,0.1125,0.02483934733639015,0.5562499999999999,0.6059286946727802,0.08198769114179072
symmetric,0.23,0.23,0.03412145290350743,0.5,0.5682429058070149,0.12009460234280744
asymmetric_half,0.23,0.115,0.02341212088940725,0.5575,0.6043242417788146,0.07748198490430991
symmetric,0.235,0.235,0.03294213189272466,0.5,0.5658842637854493,0.11642710003052648
asymmetric_half,0.235,0.1175,0.022008053706456088,0.5587500000000001,0.6027661074129124,0.07302352748702234
symmetric,0.24,0.24,0.03178005607210743,0.5,0.5635601121442149,0.11278319876540488
asymmetric_half,0.24,0.12,0.020628222120317008,0.56,0.6012564442406341,0.06861705123633144
symmetric,0.245,0.245,0.03063543967218396,0.5,0.5612708793443679,0.1091645435372306
asymmetric_half,0.245,0.1225,0.01927378098713539,0.56125,0.5997975619742708,0.06426762030740685
symmetric,0.25,0.25,0.029508497187473726,0.5,0.5590169943749475,0.10557280900008414
asymmetric_half,0.25,0.125,0.017945971173855657,0.5625,0.5983919423477113,0.05998065783923168
symmetric,0.255,0.255,0.028399443246569733,0.5,0.5567988864931395,0.10200969842248298
asymmetric_half,0.255,0.1275,0.016646127918283682,0.56375,0.5970422558365673,0.05576197582517628
symmetric,0.26,0.26,0.027308492477240986,0.5,0.554616984954482,0.09847694253172656
asymmetric_half,0.26,0.13,0.01537569018266971,0.565,0.5957513803653394,0.05161780799648574
symmetric,0.265,0.265,0.026235859366592784,0.5,0.5524717187331855,0.09497629825016707
asymmetric_half,0.265,0.1325,0.014136211141264399,0.5662499999999999,0.5945224222825287,0.04755484607962046
symmetric,0.27,0.27,0.02518175811634027,0.5,0.5503635162326805,0.09150954732142536
asymmetric_half,0.27,0.135,0.012929369965511528,0.5675,0.593358739931023,0.0435802798388526
symmetric,0.275,0.275,0.024146402493266383,0.5,0.5482928049865328,0.08807849482489372
asymmetric_half,0.275,0.1375,0.011756985098165362,0.5687500000000001,0.5922639701963309,0.039701841374102376
symmetric,0.28,0.28,0.02313000567495327,0.5,0.5462600113499065,0.08468496757723443
asymmetric_half,0.28,0.14,0.010621029240635904,0.5700000000000001,0.5912420584812719,0.0359278542122603
symmetric,0.285,0.285,0.02213278009089603,0.5,0.5442655601817921,0.0813308124199642
asymmetric_half,0.285,0.1425,0.00952364631743774,0.57125,0.5902972926348754,0.03226728780993571
symmetric,0.29,0.29,0.021154937259124984,0.5,0.54230987451825,0.07801789439263873
asymmetric_half,0.29,0.145,0.008467170729276163,0.5725,0.5894343414585524,0.028729818178982347
symmetric,0.295,0.295,0.02019668761848281,0.5,0.5403933752369656,0.0747480947916005
asymmetric_half,0.295,0.1475,0.007454149263888876,0.57375,0.5886582985277778,0.025325895455926117
symmetric,0.3,0.3,0.019258240356725187,0.5,0.5385164807134504,0.07152330911474059
asymmetric_half,0.3,0.15,0.006487366103666847,0.575,0.5879747322073337,0.022066819365901713
symmetric,0.305,0.305,0.018339803234630137,0.5,0.5366796064692603,0.06834544489322081
asymmetric_half,0.305,0.1525,0.005569871454307318,0.57625,0.5873897429086146,0.018964823684957777
symmetric,0.31,0.31,0.01744158240632665,0.5,0.5348831648126533,0.06521641941165113
asymmetric_half,0.31,0.155,0.004705014423137532,0.5775,0.5869100288462753,0.016033170986655576
symmetric,0.315,0.315,0.016563782236072022,0.5,0.5331275644721439,0.06213815731877215
asymmetric_half,0.315,0.1575,0.003896480904234334,0.57875,0.5865429618084687,0.01328625917603865
symmetric,0.32,0.32,0.0157066051117285,0.5,0.5314132102234569,0.05911258813127318
asymmetric_half,0.32,0.16,0.0031483373864130693,0.58,0.5862966747728262,0.010739741574120387
symmetric,0.325,0.325,0.014870251255213685,0.5,0.5297405025104274,0.056141643633982774
asymmetric_half,0.325,0.1625,0.002465081797867086,0.58125,0.5861801635957342,0.00841066262886081
symmetric,0.33,0.33,0.014054918530217897,0.5,0.5281098370604358,0.05322725518028737
asymmetric_half,0.33,0.165,0.0018517027485212,0.5825,0.5862034054970425,0.006317611706643689
symmetric,0.335,0.335,0.013260802247505143,0.5,0.5265216044950103,0.050371350897267186
asymmetric_half,0.335,0.1675,0.0013137488423432542,0.58375,0.5863774976846866,0.004480897877325307
symmetric,0.34,0.34,0.012488094968133745,0.5,0.5249761899362675,0.04757585280067578
asymmetric_half,0.34,0.17,0.0008574101258694844,0.585,0.5867148202517389,0.0029227491662869864
symmetric,0.345,0.345,0.011736986304954566,0.5,0.5234739726099092,0.04484267382554652
asymmetric_half,0.345,0.1725,0.0004896142414657634,0.5862499999999999,0.5872292284829315,0.0016675404346975231
symmetric,0.35,0.35,0.011007662722763767,0.5,0.5220153254455275,0.04217371477884868
asymmetric_half,0.35,0.175,0.0002181404986009161,0.5874999999999999,0.5879362809972017,0.0007420548982992603
symmetric,0.355,0.355,0.010300307337505865,0.5,0.5206006146750117,0.03957086122126807
asymmetric_half,0.355,0.1775,5.175591030004423e-05,0.58875,0.5888535118206002,0.00017578534987450212
symmetric,0.36,0.36,0.009615099714943343,0.5,0.5192301994298868,0.03703598028581834
asymmetric_half,0.36,0.18,0.0,0.5900000000000001,0.5900000000000001,0.0
symmetric,0.365,0.365,0.00895221566922344,0.5,0.5179044313384469,0.03457091744161278
asymmetric_half,0.365,0.1825,0.0,0.59125,0.59125,0.0
symmetric,0.37,0.37,0.00831182706178979,0.5,0.5166236541235796,0.032177493211727914
asymmetric_half,0.37,0.185,0.0,0.5925,0.5925,0.0
symmetric,0.375,0.375,0.007694101601103731,0.5,0.5153882032022075,0.0298574998546679
asymmetric_half,0.375,0.1875,0.0,0.59375,0.59375,0.0
symmetric,0.38,0.38,0.007099202643648828,0.5,0.5141984052872977,0.027612698019482518
asymmetric_half,0.38,0.19,1.1102230246251565e-16,0.595,0.5950000000000001,0.0
symmetric,0.385,0.385,0.006527288996706959,0.5,0.5130545779934138,0.025444813385100296
asymmetric_half,0.385,0.1925,0.0,0.59625,0.59625,0.0
symmetric,0.39,0.39,0.005978514723404049,0.5,0.5119570294468081,0.023355533294909914
asymmetric_half,0.39,0.195,1.1102230246251565e-16,0.5974999999999999,0.5975,0.0
symmetric,0.395,0.395,0.005453028950529348,0.5,0.5109060579010587,0.021346503398029237
asymmetric_half,0.395,0.1975,0.0,0.59875,0.59875,0.0
symmetric,0.4,0.4,0.004950975679639202,0.5,0.5099019513592784,0.019419324309079666
asymmetric_half,0.4,0.2,0.0,0.6000000000000001,0.6000000000000001,0.0
symmetric,0.405,0.405,0.004472493601960892,0.5,0.5089449872039217,0.017575548298577992
asymmetric_half,0.405,0.2025,0.0,0.6012500000000001,0.6012500000000001,0.0
symmetric,0.41,0.41,0.004017715917610687,0.5,0.5080354318352215,0.015816676026304655
asymmetric_half,0.41,0.205,0.0,0.6025,0.6025,0.0
symmetric,0.415,0.415,0.003586770159643815,0.5,0.5071735403192876,0.014144153330182707
asymmetric_half,0.415,0.2075,0.0,0.60375,0.60375,0.0
symmetric,0.42,0.42,0.0031797780234432693,0.5,0.5063595560468865,0.01255936808329472
asymmetric_half,0.42,0.21,0.0,0.605,0.605,0.0
symmetric,0.425,0.425,0.0027968552019586035,0.5,0.5055937104039171,0.011063647131702492
asymmetric_half,0.425,0.2125,0.0,0.60625,0.60625,0.0
symmetric,0.43,0.43,0.0024381112272867655,0.5,0.5048762224545735,0.00965825332566983
asymmetric_half,0.43,0.215,0.0,0.6075,0.6075,0.0
symmetric,0.435,0.435,0.0021036493190846883,0.5,0.5042072986381693,0.008344382656762184
asymmetric_half,0.435,0.2175,0.0,0.60875,0.60875,0.0
symmetric,0.44,0.44,0.001793566240283484,0.5,0.5035871324805669,0.0071231615130779025
asymmetric_half,0.44,0.22,0.0,0.61,0.61,0.0
symmetric,0.445,0.445,0.0015079521605628754,0.5,0.5030159043211258,0.005995644064566985
asymmetric_half,0.445,0.2225,0.0,0.61125,0.6112500000000001,0.0
symmetric,0.45,0.45,0.001246890528022293,0.5,0.5024937810560446,0.004962809790010958
asymmetric_half,0.45,0.225,0.0,0.6125,0.6125,0.0
symmetric,0.455,0.455,0.0010104579494647492,0.5,0.5020209158989295,0.004025561156771329
asymmetric_half,0.455,0.2275,0.0,0.61375,0.61375,0.0
symmetric,0.46,0.46,0.0007987240796890616,0.5,0.5015974481593781,0.003184721463875051
asymmetric_half,0.46,0.23,0.0,0.615,0.615,0.0
symmetric,0.465,0.465,0.0006117515201551349,0.5,0.5012235030403103,0.00244103285837316
asymmetric_half,0.465,0.2325,0.0,0.61625,0.61625,0.0
symmetric,0.47,0.47,0.0004495957273639162,0.5,0.5008991914547278,0.0017951545342215214
asymmetric_half,0.47,0.235,0.0,0.6174999999999999,0.6174999999999999,0.0
symmetric,0.475,0.475,0.000312304931259888,0.5,0.5006246098625197,0.0012476611221553524
asymmetric_half,0.475,0.2375,0.0,0.6187499999999999,0.6187499999999999,0.0
symmetric,0.48,0.48,0.00019992006393609874,0.5,0.5003998401278722,0.0007990412782107326
asymmetric_half,0.48,0.24,0.0,0.62,0.62,0.0
symmetric,0.485,0.485,0.00011247469888420181,0.5,0.5002249493977684,0.0004496964776331547
asymmetric_half,0.485,0.2425,0.0,0.6212500000000001,0.6212500000000001,0.0
symmetric,0.49,0.49,4.9995000999780714e-05,0.5,0.5000999900019996,0.00019994001999312783
asymmetric_half,0.49,0.245,0.0,0.6225,0.6225,0.0
symmetric,0.495,0.495,1.2499687515599156e-05,0.5,0.5000249993750312,4.999625031232302e-05
asymmetric_half,0.495,0.2475,0.0,0.62375,0.62375,0.0
symmetric,0.5,0.5,0.0,0.5,0.5,0.0
asymmetric_half,0.5,0.25,0.0,0.625,0.625,0.0
